DATE,PRICE
2021-03-29,153.7865
2021-03-30,152.7645
2021-03-31,154.704
2021-04-01,158.05
2021-04-05,161.3365
2021-04-06,161.191
2021-04-07,163.9695
2021-04-08,164.965
2021-04-09,168.61
2021-04-12,168.9695
2021-04-13,170
2021-04-14,166.65
2021-04-15,168.9545
2021-04-16,169.972
2021-04-19,168.6005
2021-04-20,166.7345
2021-04-21,168.101
2021-04-22,165.452
2021-04-23,167.044
2021-04-26,170.45
2021-04-27,170.8715
2021-04-28,172.925
2021-04-29,173.5655
2021-04-30,173.371
2021-05-03,169.3245
2021-05-04,165.5935
2021-05-05,163.527
2021-05-06,165.3185
2021-05-07,164.5805
2021-05-10,159.5245
2021-05-11,161.1955
2021-05-12,157.597
2021-05-13,158.0735
2021-05-14,161.145
2021-05-17,163.5195
2021-05-18,161.614
2021-05-19,161.59
2021-05-20,162.384
2021-05-21,160.154
2021-05-24,162.2495
2021-05-25,162.9525
2021-05-26,163.258
2021-05-27,161.5055
2021-05-28,161.1535
2021-06-01,160.9325
2021-06-02,161.6995
2021-06-03,159.3505
2021-06-04,160.311
2021-06-07,159.9005
2021-06-08,163.2055
2021-06-09,164.0575
2021-06-10,167.4825
2021-06-11,167.3415
2021-06-14,169.1935
2021-06-15,169.1565
2021-06-16,170.7625
2021-06-17,174.462
2021-06-18,174.345
2021-06-21,172.698
2021-06-22,175.272
2021-06-23,175.191
2021-06-24,172.454
2021-06-25,170.073
2021-06-28,172.1945
2021-06-29,172.407
2021-06-30,172.008
2021-07-01,171.6485
2021-07-02,175.549
2021-07-06,183.787
2021-07-07,184.829
2021-07-08,186.5705
2021-07-09,185.967
2021-07-12,185.9275
2021-07-13,183.868
2021-07-14,184.084
2021-07-15,181.56
2021-07-16,178.6815
2021-07-19,177.4795
2021-07-20,178.6595
2021-07-21,179.26
2021-07-22,181.9015
2021-07-23,182.832
2021-07-26,184.991
2021-07-27,181.3195
2021-07-28,181.516
2021-07-29,179.996
2021-07-30,166.3795
2021-08-02,166.574
2021-08-03,168.312
2021-08-04,167.736
2021-08-05,168.7995
2021-08-06,167.247
2021-08-09,167.0935
2021-08-10,166.034
2021-08-11,164.6055
2021-08-12,165.175
2021-08-13,164.6985
2021-08-16,164.9495
2021-08-17,162.098
2021-08-18,160.061
2021-08-19,159.3875
2021-08-20,159.9975
2021-08-23,163.2935
2021-08-24,165.289
2021-08-25,164.959
2021-08-26,165.8
2021-08-27,167.4815
2021-08-30,171.0785
2021-08-31,173.5395
2021-09-01,173.95
2021-09-02,173.156
2021-09-03,173.9025
2021-09-07,175.4645
2021-09-08,176.275
2021-09-09,174.208
2021-09-10,173.4575
2021-09-13,172.8585
2021-09-14,172.5
2021-09-15,173.7895
2021-09-16,174.412
2021-09-17,173.126
2021-09-20,167.7865
2021-09-21,167.1815
2021-09-22,169.0025
2021-09-23,170.8
2021-09-24,171.276
2021-09-27,170.29
2021-09-28,165.798
2021-09-29,165.056
2021-09-30,164.252
2021-10-01,164.163
2021-10-04,159.489
2021-10-05,161.05
2021-10-06,163.1005
2021-10-07,165.1215
2021-10-08,164.431
2021-10-11,162.315
2021-10-12,162.3665
2021-10-13,164.214
2021-10-14,164.993
2021-10-15,170.451
2021-10-18,172.337
2021-10-19,172.2075
2021-10-20,170.753
2021-10-21,171.7505
2021-10-22,166.7775
2021-10-25,166.0185
2021-10-26,168.8035
2021-10-27,169.6245
2021-10-28,172.3285
2021-10-29,168.6215
2021-11-01,165.9055
2021-11-02,165.6375
2021-11-03,169.2
2021-11-04,173.85
2021-11-05,175.9495
2021-11-08,174.449
2021-11-09,178.8115
2021-11-10,174.1025
2021-11-11,173.625
2021-11-12,176.2575
2021-11-15,177.284
2021-11-16,177.035
2021-11-17,177.45
2021-11-18,184.803
2021-11-19,183.8285
2021-11-22,178.6285
2021-11-23,179.002
2021-11-24,179.0205
2021-11-26,175.228
2021-11-29,178.0785
2021-11-30,175.3535
2021-12-01,172.186
2021-12-02,171.868
2021-12-03,169.4895
2021-12-06,171.3685
2021-12-07,176.1645
2021-12-08,176.158
2021-12-09,174.171
2021-12-10,172.212
2021-12-13,169.5675
2021-12-14,169.0915
2021-12-15,173.315
2021-12-16,168.871
2021-12-17,170.0175
2021-12-20,167.079
2021-12-21,170.417
2021-12-22,171.037
2021-12-23,171.0685
2021-12-27,169.6695
2021-12-28,170.661
2021-12-29,169.201
2021-12-30,168.6445
2021-12-31,166.717
2022-01-03,170.4045
2022-01-04,167.522
2022-01-05,164.357
2022-01-06,163.254
2022-01-07,162.554
2022-01-10,161.486
2022-01-11,165.362
2022-01-12,165.207
2022-01-13,161.214
2022-01-14,162.138
2022-01-18,158.9175
2022-01-19,156.299
2022-01-20,151.6675
2022-01-21,142.643
2022-01-24,144.544
2022-01-25,139.986
2022-01-26,138.8725
2022-01-27,139.6375
2022-01-28,143.978
2022-01-31,149.5735
2022-02-01,151.1935
2022-02-02,150.6125
2022-02-03,138.8455
2022-02-04,157.6395
2022-02-07,157.9355
2022-02-08,161.4135
2022-02-09,161.1895
2022-02-10,159.0035
2022-02-11,153.2935
2022-02-14,155.167
2022-02-15,156.5105
2022-02-16,158.1005
2022-02-17,154.6525
2022-02-18,152.6015
2022-02-22,150.1975
2022-02-23,144.827
2022-02-24,151.358
2022-02-25,153.7885
2022-02-28,153.563
2022-03-01,151.142
2022-03-02,152.0525
2022-03-03,147.8985
2022-03-04,145.641
2022-03-07,137.453
2022-03-08,136.0145
2022-03-09,139.279
2022-03-10,146.8175
2022-03-11,145.5245
2022-03-14,141.853
2022-03-15,147.3665
2022-03-16,153.104
2022-03-17,157.239
2022-03-18,161.2505
2022-03-21,161.4915
2022-03-22,164.889
2022-03-23,163.408
2022-03-24,163.6495
2022-03-25,164.7735
