DATE,PRICE
2021-03-29,513.95
2021-03-30,513.39
2021-03-31,521.66
2021-04-01,539.42
2021-04-05,540.67
2021-04-06,544.53
2021-04-07,546.99
2021-04-08,554.58
2021-04-09,555.31
2021-04-12,552.78
2021-04-13,553.73
2021-04-14,540.02
2021-04-15,549.22
2021-04-16,546.54
2021-04-19,554.44
2021-04-20,549.57
2021-04-21,508.9
2021-04-22,508.78
2021-04-23,505.55
2021-04-26,510.3
2021-04-27,505.55
2021-04-28,506.52
2021-04-29,509
2021-04-30,513.47
2021-05-03,509.11
2021-05-04,503.18
2021-05-05,496.08
2021-05-06,499.55
2021-05-07,503.84
2021-05-10,486.69
2021-05-11,495.08
2021-05-12,484.98
2021-05-13,486.66
2021-05-14,493.37
2021-05-17,488.94
2021-05-18,486.28
2021-05-19,487.7
2021-05-20,501.67
2021-05-21,497.89
2021-05-24,502.9
2021-05-25,501.34
2021-05-26,502.36
2021-05-27,503.86
2021-05-28,502.81
2021-06-01,499.08
2021-06-02,499.24
2021-06-03,489.43
2021-06-04,494.74
2021-06-07,494.66
2021-06-08,492.39
2021-06-09,485.81
2021-06-10,487.27
2021-06-11,488.77
2021-06-14,499.89
2021-06-15,491.9
2021-06-16,492.41
2021-06-17,498.34
2021-06-18,500.77
2021-06-21,497
2021-06-22,508.82
2021-06-23,512.74
2021-06-24,518.06
2021-06-25,527.07
2021-06-28,533.03
2021-06-29,533.5
2021-06-30,528.21
2021-07-01,533.54
2021-07-02,533.98
2021-07-06,541.64
2021-07-07,535.96
2021-07-08,530.76
2021-07-09,535.98
2021-07-12,537.31
2021-07-13,540.68
2021-07-14,547.95
2021-07-15,542.95
2021-07-16,530.31
2021-07-19,532.28
2021-07-20,531.05
2021-07-21,513.63
2021-07-22,511.77
2021-07-23,515.41
2021-07-26,516.49
2021-07-27,518.91
2021-07-28,519.3
2021-07-29,514.25
2021-07-30,517.57
2021-08-02,515.15
2021-08-03,510.82
2021-08-04,517.35
2021-08-05,524.89
2021-08-06,520.55
2021-08-09,519.97
2021-08-10,515.84
2021-08-11,512.4
2021-08-12,510.72
2021-08-13,515.92
2021-08-16,517.92
2021-08-17,518.91
2021-08-18,521.87
2021-08-19,543.71
2021-08-20,546.88
2021-08-23,553.33
2021-08-24,553.41
2021-08-25,547.58
2021-08-26,550.12
2021-08-27,558.92
2021-08-30,566.18
2021-08-31,569.19
2021-09-01,582.07
2021-09-02,588.55
2021-09-03,590.53
2021-09-07,606.71
2021-09-08,606.05
2021-09-09,597.54
2021-09-10,598.72
2021-09-13,589.29
2021-09-14,577.76
2021-09-15,582.87
2021-09-16,586.5
2021-09-17,589.35
2021-09-20,575.43
2021-09-21,573.14
2021-09-22,590.65
2021-09-23,593.26
2021-09-24,592.39
2021-09-27,592.64
2021-09-28,583.85
2021-09-29,599.06
2021-09-30,610.34
2021-10-01,613.15
2021-10-04,603.35
2021-10-05,634.81
2021-10-06,639.1
2021-10-07,631.85
2021-10-08,632.66
2021-10-11,627.04
2021-10-12,624.94
2021-10-13,629.76
2021-10-14,633.8
2021-10-15,628.29
2021-10-18,637.97
2021-10-19,639
2021-10-20,625.14
2021-10-21,653.16
2021-10-22,664.78
2021-10-25,671.66
2021-10-26,668.52
2021-10-27,662.92
2021-10-28,674.05
2021-10-29,690.31
2021-11-01,681.17
2021-11-02,677.72
2021-11-03,688.29
2021-11-04,668.4
2021-11-05,645.72
2021-11-08,651.45
2021-11-09,655.99
2021-11-10,646.91
2021-11-11,657.58
2021-11-12,682.61
2021-11-15,679.33
2021-11-16,687.4
2021-11-17,691.69
2021-11-18,682.02
2021-11-19,678.8
2021-11-22,659.2
2021-11-23,654.06
2021-11-24,658.29
2021-11-26,665.64
2021-11-29,663.84
2021-11-30,641.9
2021-12-01,617.77
2021-12-02,616.47
2021-12-03,602.13
2021-12-06,612.69
2021-12-07,625.58
2021-12-08,628.08
2021-12-09,611
2021-12-10,611.66
2021-12-13,604.56
2021-12-14,597.99
2021-12-15,605.04
2021-12-16,591.06
2021-12-17,586.73
2021-12-20,593.74
2021-12-21,604.92
2021-12-22,614.24
2021-12-23,614.09
2021-12-27,613.12
2021-12-28,610.71
2021-12-29,610.54
2021-12-30,612.09
2021-12-31,602.44
2022-01-03,597.37
2022-01-04,591.15
2022-01-05,567.52
2022-01-06,553.29
2022-01-07,541.06
2022-01-10,539.85
2022-01-11,540.84
2022-01-12,537.22
2022-01-13,519.2
2022-01-14,525.69
2022-01-18,510.8
2022-01-19,515.86
2022-01-20,508.25
2022-01-21,397.5
2022-01-24,387.15
2022-01-25,366.42
2022-01-26,359.7
2022-01-27,386.7
2022-01-28,384.36
2022-01-31,427.14
2022-02-01,457.13
2022-02-02,429.48
2022-02-03,405.6
2022-02-04,410.17
2022-02-07,402.1
2022-02-08,403.53
2022-02-09,412.89
2022-02-10,406.27
2022-02-11,391.31
2022-02-14,396.57
2022-02-15,407.46
2022-02-16,398.08
2022-02-17,386.67
2022-02-18,391.29
2022-02-22,377.38
2022-02-23,367.46
2022-02-24,390.03
2022-02-25,390.8
2022-02-28,394.52
2022-03-01,386.24
2022-03-02,380.03
2022-03-03,368.07
2022-03-04,361.73
2022-03-07,350.26
2022-03-08,341.76
2022-03-09,358.79
2022-03-10,356.77
2022-03-11,340.32
2022-03-14,331.01
2022-03-15,343.75
2022-03-16,357.53
2022-03-17,371.4
2022-03-18,380.6
2022-03-21,374.59
2022-03-22,382.92
2022-03-23,374.49
2022-03-24,375.71
2022-03-25,373.85
