DATE,PRICE
2021-03-29,235.67
2021-03-30,236.54
2021-03-31,242.84
2021-04-01,247.54
2021-04-05,251.02
2021-04-06,253.19
2021-04-07,255.6
2021-04-08,264.5
2021-04-09,266.77
2021-04-12,269.03
2021-04-13,275.43
2021-04-14,267.21
2021-04-15,274
2021-04-16,269.87
2021-04-19,267.91
2021-04-20,264.43
2021-04-21,264.89
2021-04-22,262.27
2021-04-23,266.03
2021-04-26,271.72
2021-04-27,268.82
2021-04-28,271.09
2021-04-29,267.85
2021-04-30,262.29
2021-05-03,259.09
2021-05-04,250.16
2021-05-05,247.4
2021-05-06,252.02
2021-05-07,253.36
2021-05-10,243.63
2021-05-11,248.6
2021-05-12,239.91
2021-05-13,240.8
2021-05-14,246.29
2021-05-17,244.36
2021-05-18,243.21
2021-05-19,244.63
2021-05-20,251.54
2021-05-21,250.69
2021-05-24,257.17
2021-05-25,258.65
2021-05-26,261.37
2021-05-27,259.47
2021-05-28,260.02
2021-06-01,259.27
2021-06-02,262.17
2021-06-03,257.79
2021-06-04,263.04
2021-06-07,260.6
2021-06-08,263.15
2021-06-09,263.6
2021-06-10,269.47
2021-06-11,271.45
2021-06-14,274.93
2021-06-15,271.89
2021-06-16,268.82
2021-06-17,278.11
2021-06-18,283.38
2021-06-21,283.1
2021-06-22,286.75
2021-06-23,288.12
2021-06-24,293.21
2021-06-25,289.6
2021-06-28,293.65
2021-06-29,292.76
2021-06-30,291.48
2021-07-01,289
2021-07-02,290.24
2021-07-06,292.64
2021-07-07,297.13
2021-07-08,295.05
2021-07-09,300.21
2021-07-12,302.97
2021-07-13,301.19
2021-07-14,300.75
2021-07-15,296.51
2021-07-16,294.63
2021-07-19,294.85
2021-07-20,298.07
2021-07-21,301.77
2021-07-22,303.69
2021-07-23,308.53
2021-07-26,306.8
2021-07-27,300.48
2021-07-28,301.98
2021-07-29,283.17
2021-07-30,275.53
2021-08-02,270.99
2021-08-03,273.5
2021-08-04,275.5
2021-08-05,280.67
2021-08-06,279.54
2021-08-09,278.15
2021-08-10,274.37
2021-08-11,276.41
2021-08-12,274.59
2021-08-13,274.91
2021-08-16,278.28
2021-08-17,271.1
2021-08-18,268.84
2021-08-19,270.58
2021-08-20,272.96
2021-08-23,276.98
2021-08-24,279.51
2021-08-25,277.69
2021-08-26,273.62
2021-08-27,278.33
2021-08-30,288.47
2021-08-31,288.66
2021-09-01,286.75
2021-09-02,285.53
2021-09-03,289.13
2021-09-07,293.26
2021-09-08,285.23
2021-09-09,286.88
2021-09-10,284.32
2021-09-13,280.49
2021-09-14,282.24
2021-09-15,282.43
2021-09-16,282.97
2021-09-17,276.34
2021-09-20,269.91
2021-09-21,269.49
2021-09-22,272.34
2021-09-23,279.1
2021-09-24,278.11
2021-09-27,273.39
2021-09-28,262.19
2021-09-29,259
2021-09-30,260.21
2021-10-01,264.65
2021-10-04,255.01
2021-10-05,260.15
2021-10-06,264.06
2021-10-07,263.54
2021-10-08,260.06
2021-10-11,255.05
2021-10-12,255.85
2021-10-13,256.36
2021-10-14,266.45
2021-10-15,268.35
2021-10-18,270.33
2021-10-19,271.7
2021-10-20,258.36
2021-10-21,243.21
2021-10-22,240.4
2021-10-25,246.88
2021-10-26,243
2021-10-27,234.94
2021-10-28,236.83
2021-10-29,232.59
2021-11-01,231.28
2021-11-02,229.46
2021-11-03,230.38
2021-11-04,228.22
2021-11-05,225.78
2021-11-08,229.42
2021-11-09,205.42
2021-11-10,204.64
2021-11-11,202.03
2021-11-12,208.3
2021-11-15,212.54
2021-11-16,215.67
2021-11-17,206.27
2021-11-18,200.5
2021-11-19,193.61
2021-11-22,189.48
2021-11-23,188.05
2021-11-24,188.71
2021-11-26,187.79
2021-11-29,187.24
2021-11-30,184.89
2021-12-01,179.32
2021-12-02,187.15
2021-12-03,183.93
2021-12-06,184.86
2021-12-07,191.02
2021-12-08,197.35
2021-12-09,191.75
2021-12-10,188.51
2021-12-13,186.38
2021-12-14,186.8
2021-12-15,190.66
2021-12-16,188.75
2021-12-17,186.2
2021-12-20,182.68
2021-12-21,189.14
2021-12-22,191.68
2021-12-23,192.01
2021-12-27,192.01
2021-12-28,190.1
2021-12-29,189.97
2021-12-30,191.88
2021-12-31,188.58
2022-01-03,194.94
2022-01-04,191.14
2022-01-05,187.16
2022-01-06,192.27
2022-01-07,187.6
2022-01-10,182.95
2022-01-11,191.52
2022-01-12,187.2
2022-01-13,181.01
2022-01-14,178.42
2022-01-18,174.46
2022-01-19,173.55
2022-01-20,173.28
2022-01-21,163.54
2022-01-24,162.17
2022-01-25,158.2
2022-01-26,156.98
2022-01-27,158.11
2022-01-28,163.52
2022-01-31,171.94
2022-02-01,175.8
2022-02-02,132.57
2022-02-03,124.3
2022-02-04,126.08
2022-02-07,121.41
2022-02-08,120.26
2022-02-09,122.94
2022-02-10,119.02
2022-02-11,115.29
2022-02-14,114.12
2022-02-15,115.46
2022-02-16,110.54
2022-02-17,105.2
2022-02-18,103.65
2022-02-22,103.17
2022-02-23,100.72
2022-02-24,105.02
2022-02-25,110.94
2022-02-28,111.93
2022-03-01,106.51
2022-03-02,106.61
2022-03-03,101.34
2022-03-04,99.91
2022-03-07,93.61
2022-03-08,94.9
2022-03-09,100.22
2022-03-10,98.55
2022-03-11,96.57
2022-03-14,96.87
2022-03-15,100.46
2022-03-16,107.92
2022-03-17,112.16
2022-03-18,118.77
2022-03-21,114.65
2022-03-22,117.87
2022-03-23,114.65
2022-03-24,116.05
2022-03-25,113.76
