DATE,PRICE
2021-03-29,136.67
2021-03-30,135.74
2021-03-31,135.83
2021-04-01,135.62
2021-04-05,139.43
2021-04-06,140.1
2021-04-07,139.8
2021-04-08,139.71
2021-04-09,139.78
2021-04-12,139.8
2021-04-13,139.37
2021-04-14,139.32
2021-04-15,140.16
2021-04-16,140.61
2021-04-19,139.71
2021-04-20,140.79
2021-04-21,141.2
2021-04-22,139.67
2021-04-23,139.9
2021-04-26,137.91
2021-04-27,138.38
2021-04-28,137.89
2021-04-29,139.63
2021-04-30,139.91
2021-05-03,142.12
2021-05-04,140.72
2021-05-05,140.6
2021-05-06,141.05
2021-05-07,140.2
2021-05-10,140.82
2021-05-11,139.55
2021-05-12,135.94
2021-05-13,138.24
2021-05-14,139.52
2021-05-17,138.89
2021-05-18,141.91
2021-05-19,141.92
2021-05-20,142.42
2021-05-21,141.75
2021-05-24,141.76
2021-05-25,142.34
2021-05-26,142.17
2021-05-27,141.69
2021-05-28,142.03
2021-06-01,141.66
2021-06-02,141.35
2021-06-03,141.6
2021-06-04,141.85
2021-06-07,140.9
2021-06-08,139.83
2021-06-09,139.08
2021-06-10,139.88
2021-06-11,140.75
2021-06-14,140.56
2021-06-15,140
2021-06-16,137.15
2021-06-17,137.72
2021-06-18,135.17
2021-06-21,136.4
2021-06-22,137.03
2021-06-23,135.96
2021-06-24,136.91
2021-06-25,138.53
2021-06-28,138.1
2021-06-29,137.3
2021-06-30,141.02
2021-07-01,139.32
2021-07-02,140.11
2021-07-06,139.94
2021-07-07,139.71
2021-07-08,139.59
2021-07-09,140.3
2021-07-12,140.05
2021-07-13,140.58
2021-07-14,141.55
2021-07-15,141.66
2021-07-16,141.56
2021-07-19,141.23
2021-07-20,141.87
2021-07-21,141.17
2021-07-22,141.27
2021-07-23,142.43
2021-07-26,142.63
2021-07-27,142.64
2021-07-28,142.06
2021-07-29,142.24
2021-07-30,142.55
2021-08-02,142.22
2021-08-03,143.82
2021-08-04,142.84
2021-08-05,145.49
2021-08-06,145.23
2021-08-09,145.58
2021-08-10,148.68
2021-08-11,150.01
2021-08-12,149.06
2021-08-13,149.53
2021-08-16,150.75
2021-08-17,150.7
2021-08-18,149.1
2021-08-19,150.11
2021-08-20,151.45
2021-08-23,150.45
2021-08-24,148.9
2021-08-25,148.96
2021-08-26,147.35
2021-08-27,146.52
2021-08-30,147.7
2021-08-31,148.1
2021-09-01,147.78
2021-09-02,148.56
2021-09-03,149.25
2021-09-07,147.27
2021-09-08,147.46
2021-09-09,146.42
2021-09-10,145.89
2021-09-13,145.06
2021-09-14,144.3
2021-09-15,144.55
2021-09-16,145.03
2021-09-17,144.73
2021-09-20,142.74
2021-09-21,143.02
2021-09-22,142.69
2021-09-23,142.77
2021-09-24,143.17
2021-09-27,142.25
2021-09-28,140.5
2021-09-29,140.44
2021-09-30,139.38
2021-10-01,137.05
2021-10-04,135.73
2021-10-05,136.62
2021-10-06,137.62
2021-10-07,139.24
2021-10-08,139.66
2021-10-11,139.53
2021-10-12,139.38
2021-10-13,138.37
2021-10-14,139.87
2021-10-15,140.55
2021-10-18,141.68
2021-10-19,144.69
2021-10-20,146
2021-10-21,146.81
2021-10-22,148.34
2021-10-25,150.06
2021-10-26,148.75
2021-10-27,147.53
2021-10-28,148.45
2021-10-29,149.42
2021-11-01,149.79
2021-11-02,149.72
2021-11-03,150.18
2021-11-04,151.28
2021-11-05,150.23
2021-11-08,149.27
2021-11-09,149.79
2021-11-10,148.44
2021-11-11,148.5
2021-11-12,147.76
2021-11-15,146.91
2021-11-16,143.17
2021-11-17,141.94
2021-11-18,143.16
2021-11-19,142.39
2021-11-22,144.78
2021-11-23,145.81
2021-11-24,146.54
2021-11-26,144.9
2021-11-29,142.63
2021-11-30,140.63
2021-12-01,137.14
2021-12-02,135.47
2021-12-03,137.51
2021-12-06,139
2021-12-07,138.55
2021-12-08,137.15
2021-12-09,138.5
2021-12-10,141.03
2021-12-13,143.57
2021-12-14,144.94
2021-12-15,145.77
2021-12-16,143.34
2021-12-17,138.75
2021-12-20,139.2
2021-12-21,139.62
2021-12-22,139.8
2021-12-23,139.49
2021-12-27,140.76
2021-12-28,142.78
2021-12-29,142.71
2021-12-30,143.17
2021-12-31,144.69
2022-01-03,144.65
2022-01-04,142
2022-01-05,143.92
2022-01-06,143.52
2022-01-07,144.89
2022-01-10,144.61
2022-01-11,144.2
2022-01-12,143.44
2022-01-13,145.47
2022-01-14,145.06
2022-01-18,142.52
2022-01-19,143.94
2022-01-20,141.22
2022-01-21,140.19
2022-01-24,140.2
2022-01-25,137.15
2022-01-26,135.75
2022-01-27,135.84
2022-01-28,137.52
2022-01-31,139.81
2022-02-01,140.91
2022-02-02,140.85
2022-02-03,140.99
2022-02-04,139.33
2022-02-07,137.96
2022-02-08,137.99
2022-02-09,137.69
2022-02-10,136.08
2022-02-11,135.33
2022-02-14,133.95
2022-02-15,134.37
2022-02-16,133.53
2022-02-17,138.88
2022-02-18,137.99
2022-02-22,136.45
2022-02-23,135.05
2022-02-24,134.53
2022-02-25,136.38
2022-02-28,135.16
2022-03-01,135.99
2022-03-02,136.16
2022-03-03,139.29
2022-03-04,142.82
2022-03-07,141.67
2022-03-08,138.74
2022-03-09,139.46
2022-03-10,142.63
2022-03-11,142.07
2022-03-14,144.05
2022-03-15,145.78
2022-03-16,145.35
2022-03-17,145.01
2022-03-18,145.44
2022-03-21,144.23
2022-03-22,143.8
2022-03-23,141.95
2022-03-24,142.83
2022-03-25,143.45
